week,high,low,close,open,prev_high,prev_low,prev_close,prev_open
2025-06-30,50.24,48.85,49.45,49.83,50.44,48.0,49.66,48.2
2025-07-07,49.94,47.38,47.5,49.35,50.24,48.85,49.45,49.83
2025-07-14,48.15,47.42,47.73,47.9,49.94,47.38,47.5,49.35
