week,high,low,close,open,current_week,prev_high,prev_low,prev_close,prev_open
2025-06-16,201.83,190.0,194.66,200.79,2025-06-23,201.83,190.0,194.66,200.79
2025-06-23,204.46,192.49,203.5,193.5,2025-06-30,204.46,192.49,203.5,193.5
2025-06-30,206.28,197.25,203.6,203.5,2025-07-07,206.28,197.25,203.6,203.5
2025-07-07,205.9,198.11,200.99,204.7,2025-07-14,205.9,198.11,200.99,204.7
