,week,prev_high,prev_low,prev_close,prev_open
0,2025-06-30,3015.0,2781.8,2920.0,2799.4
1,2025-07-07,2983.0,2734.4,2773.5,2925.8
2,2025-07-14,2818.0,2607.7,2674.2,2768.0
