week,high,low,close,open,current_week,prev_high,prev_low,prev_close,prev_open
2025-06-16,1590.9,1496.8,1550.0,1530.3,2025-06-23,1590.9,1496.8,1550.0,1530.3
2025-06-23,1543.0,1484.0,1500.0,1533.4,2025-06-30,1543.0,1484.0,1500.0,1533.4
2025-06-30,1521.7,1470.6,1484.1,1507.9,2025-07-07,1521.7,1470.6,1484.1,1507.9
2025-07-07,1507.4,1465.1,1475.0,1482.2,2025-07-14,1507.4,1465.1,1475.0,1482.2
