week,high,low,close,open,current_week,prev_high,prev_low,prev_close,prev_open
2025-06-16,1227.8,1196.0,1216.1,1206.1,2025-06-23,1227.8,1196.0,1216.1,1206.1
2025-06-23,1247.0,1205.6,1223.0,1214.5,2025-06-30,1247.0,1205.6,1223.0,1214.5
2025-06-30,1236.0,1162.0,1175.2,1229.0,2025-07-07,1236.0,1162.0,1175.2,1229.0
2025-07-07,1179.9,1158.6,1171.6,1177.6,2025-07-14,1179.9,1158.6,1171.6,1177.6
