,week,prev_high,prev_low,prev_close,prev_open
0,2025-06-30,1029.6,991.5,995.95,1006.85
1,2025-07-07,1001.25,960.3,971.85,999.45
2,2025-07-14,983.05,961.5,962.0,972.15
